Student id,Batch
sp2_026,Spartans II
sp2_029,Spartans II
sp2_053,Spartans II
sp2_072,Spartans II
sp2_015,Spartans II
sp2_028,Spartans II
sp2_034,Spartans II
sp2_036,Spartans II
sp2_051,Spartans II
sp2_058,Spartans II
sp2_067,Spartans II
sp2_088,Spartans II
sp2_095,Spartans II
sp2_102,Spartans II
sp2_202,Spartans II
sp2_203,Spartans II
sp2_077,Spartans II
sp2_099,Spartans II
sp2_020,Spartans II
sp2_022,Spartans II
sp2_027,Spartans II
sp2_031,Spartans II
sp2_046,Spartans II
sp2_056,Spartans II
sp2_062,Spartans II
sp2_071,Spartans II
sp2_096,Spartans II
sp2_100,Spartans II
sm2_010,Samurai II
sm2_021,Samurai II
sm2_030,Samurai II
sm2_039,Samurai II
sm2_049,Samurai II
sm2_062,Samurai II
sm2_069,Samurai II
sm2_080,Samurai II
sm2_082,Samurai II
sm2_085,Samurai II
sm2_142,Samurai II
sm2_172,Samurai II
sm2_178,Samurai II
sm2_191,Samurai II
ti_146,Samurai II
sm2_004,Samurai II
sm2_017,Samurai II
ti_022,Samurai II
sm2_025,Samurai II
sm2_026,Samurai II
sm2_027,Samurai II
sm2_041,Samurai II
sm2_043,Samurai II
sm2_052,Samurai II
sm2_064,Samurai II
sm2_070,Samurai II
sm2_071,Samurai II
sm2_042,Samurai II
sm2_305,Samurai II
sm2_083,Samurai II
sm2_087,Samurai II
sm2_306,Samurai II
sm2_092,Samurai II
sm2_109,Samurai II
ti_096,Samurai II
sm2_137,Samurai II
sm2_155,Samurai II
sm2_163,Samurai II
sm2_173,Samurai II
sm2_176,Samurai II
sm2_181,Samurai II
sm2_185,Samurai II
sm2_005,Samurai II
sm2_007,Samurai II
sm2_019,Samurai II
sm2_059,Samurai II
sm2_075,Samurai II
sm2_094,Samurai II
sm2_099,Samurai II
sm2_113,Samurai II
sm2_121,Samurai II
ti_103,Samurai II
sm2_169,Samurai II
sm2_170,Samurai II
ti_130,Samurai II
sm2_184,Samurai II
sm2_190,Samurai II
sm2_006,Samurai II
sm2_013,Samurai II
sm2_312,Samurai II
sm2_018,Samurai II
sm2_029,Samurai II
sm2_033,Samurai II
sm2_036,Samurai II
sm2_037,Samurai II
sm2_051,Samurai II
sm2_076,Samurai II
sm2_079,Samurai II
sm2_091,Samurai II
sm2_096,Samurai II
ti_064,Samurai II
sm2_102,Samurai II
sm2_114,Samurai II
sm2_125,Samurai II
sm2_127,Samurai II
sm2_154,Samurai II
sm2_162,Samurai II
sm2_167,Samurai II
sm2_177,Samurai II
sm2_196,Samurai II
nj2_019,Ninjas II
nj2_066,Ninjas II
nj2_155,Ninjas II
nj2_114,Ninjas II
nj2_130,Ninjas II
nj2_059,Ninjas II
nj2_128,Ninjas II
nj2_132,Ninjas II
nj2_032,Ninjas II
nj2_139,Ninjas II
nj2_145,Ninjas II
nj2_058,Ninjas II
nj2_146,Ninjas II
nj2_061,Ninjas II
nj2_067,Ninjas II
nj2_106,Ninjas II
nj2_045,Ninjas II
nj2_002,Ninjas II
nj2_062,Ninjas II
nj2_047,Ninjas II
nj2_001,Ninjas II
nj2_098,Ninjas II
nj2_043,Ninjas II
nj2_131,Ninjas II
nj2_010,Ninjas II
nj2_172,Ninjas II
nj2_159,Ninjas II
nj2_068,Ninjas II
nj2_022,Ninjas II
nj2_046,Ninjas II
nj2_014,Ninjas II
nj2_129,Ninjas II
nj2_013,Ninjas II
nj2_005,Ninjas II
nj2_103,Ninjas II
nj2_154,Ninjas II
nj2_012,Ninjas II
nj2_008,Ninjas II
nj2_040,Ninjas II
nj2_142,Ninjas II
nj2_078,Ninjas II
nj2_041,Ninjas II
nj2_090,Ninjas II
nj2_029,Ninjas II
nj2_107,Ninjas II
nj2_076,Ninjas II
nj2_088,Ninjas II
nj2_104,Ninjas II
nj2_099,Ninjas II
nj2_138,Ninjas II
nj2_050,Ninjas II
nj2_051,Ninjas II
nj2_044,Ninjas II
nj2_125,Ninjas II
nj2_082,Ninjas II
nj2_124,Ninjas II
nj2_101,Ninjas II
nj2_028,Ninjas II
nj2_077,Ninjas II
nj2_080,Ninjas II
nj2_035,Ninjas II
nj2_112,Ninjas II
ti_201,Ninjas II
nj2_048,Ninjas II
nj2_151,Ninjas II
sm2_120,Ninjas II
nj2_004,Ninjas II
nj2_075,Ninjas II
nj2_063,Ninjas II
nj2_115,Ninjas II
sm2_174,Ninjas II
nj2_140,Ninjas II
nj2_033,Ninjas II
nj2_079,Ninjas II
nj2_003,Ninjas II
nj2_126,Ninjas II
nj2_108,Ninjas II
nj2_052,Ninjas II
nj2_169,Ninjas II
nj2_168,Ninjas II
nj2_015,Ninjas II
nj2_113,Ninjas II
nj2_152,Ninjas II
nj2_018,Ninjas II
nj2_009,Ninjas II
nj2_153,Ninjas II
nj2_036,Ninjas II
nj2_024,Ninjas II
nj2_164,Ninjas II
nj2_027,Ninjas II
nj2_109,Ninjas II
nj2_118,Ninjas II
nj2_031,Ninjas II
nj2_017,Ninjas II
nj2_166,Ninjas II
fw10_134,FT-WEB-10
fw10_129,FT-WEB-10
fw10_108,FT-WEB-10
fw10_087,FT-WEB-10
fw10_018,FT-WEB-10
fw10_093,FT-WEB-10
fw10_030,FT-WEB-10
fw10_097,FT-WEB-10
fw10_109,FT-WEB-10
fw10_002,FT-WEB-10
fw10_034,FT-WEB-10
fw10_160,FT-WEB-10
fw10_172,FT-WEB-10
fw10_010,FT-WEB-10
fw10_125,FT-WEB-10
fw10_077,FT-WEB-10
fw10_194,FT-WEB-10
fw10_156,FT-WEB-10
fw10_035,FT-WEB-10
fw10_149,FT-WEB-10
fw10_116,FT-WEB-10
fw10_199,FT-WEB-10
fw10_102,FT-WEB-10
fw10_157,FT-WEB-10
fw10_155,FT-WEB-10
fw10_150,FT-WEB-10
fw10_076,FT-WEB-10
fw10_187,FT-WEB-10
fw10_037,FT-WEB-10
fw10_183,FT-WEB-10
fw10_139,FT-WEB-10
fw10_027,FT-WEB-10
fw10_009,FT-WEB-10
fw10_016,FT-WEB-10
fw10_082,FT-WEB-10
fw10_115,FT-WEB-10
fw10_091,FT-WEB-10
fw10_047,FT-WEB-10
fw10_200,FT-WEB-10
fw10_209,FT-WEB-10
fw10_043,FT-WEB-10
fw10_105,FT-WEB-10
fw10_100,FT-WEB-10
fw10_073,FT-WEB-10
fw10_184,FT-WEB-10
fw10_142,FT-WEB-10
fw10_131,FT-WEB-10
fw10_197,FT-WEB-10
fw10_040,FT-WEB-10
fw10_031,FT-WEB-10
fw10_024,FT-WEB-10
fw10_185,FT-WEB-10
fw10_196,FT-WEB-10
fw10_092,FT-WEB-10
fw10_138,FT-WEB-10
fw10_195,FT-WEB-10
fw10_095,FT-WEB-10
fw10_061,FT-WEB-10
fw10_062,FT-WEB-10
fw10_126,FT-WEB-10
fw10_205,FT-WEB-10
fw10_218,FT-WEB-10
fw10_107,FT-WEB-10
nj2_070,FT-WEB-10
nj2_042,FT-WEB-10
nj2_084,FT-WEB-10
nj2_111,FT-WEB-10
nj2_071,FT-WEB-10
nj2_069,FT-WEB-10
nj2_116,FT-WEB-10
nj2_053,FT-WEB-10
nj2_030,FT-WEB-10
nj2_127,FT-WEB-10
nj2_021,FT-WEB-10
nj2_121,FT-WEB-10
fw10_220,FT-WEB-10
fw10_042,FT-WEB-10
fw10_127,FT-WEB-10
fw10_072,FT-WEB-10
fw10_048,FT-WEB-10
fw10_111,FT-WEB-10
fw10_011,FT-WEB-10
fw10_180,FT-WEB-10
fw10_032,FT-WEB-10
fw10_013,FT-WEB-10
fw10_005,FT-WEB-10
fw10_137,FT-WEB-10
fw10_007,FT-WEB-10
fw10_050,FT-WEB-10
fw10_057,FT-WEB-10
fw10_023,FT-WEB-10
fw10_146,FT-WEB-10
fw10_065,FT-WEB-10
fw10_198,FT-WEB-10
fw10_158,FT-WEB-10
fw10_188,FT-WEB-10
fw10_003,FT-WEB-10
fw10_147,FT-WEB-10
fw10_124,FT-WEB-10
fw10_028,FT-WEB-10
fw10_143,FT-WEB-10
fw10_070,FT-WEB-10
fw10_207,FT-WEB-10
fw10_044,FT-WEB-10
fw10_064,FT-WEB-10
fw10_053,FT-WEB-10
fw10_141,FT-WEB-10
fw10_075,FT-WEB-10
fw10_110,FT-WEB-10
fw10_014,FT-WEB-10
fw10_167,FT-WEB-10
fw10_211,FT-WEB-10
fw10_049,FT-WEB-10
fw10_078,FT-WEB-10
fw10_021,FT-WEB-10
fw10_086,FT-WEB-10
fw10_192,FT-WEB-10
fw10_141,FT-WEB-10
fw10_140,FT-WEB-10
fw10_210,FT-WEB-10
fw10_186,FT-WEB-10
fw10_038,FT-WEB-10
fw10_029,FT-WEB-10
fw10_004,FT-WEB-10
fw10_148,FT-WEB-10
fw10_008,FT-WEB-10
fw10_074,FT-WEB-10
fw10_045,FT-WEB-10
fw10_182,FT-WEB-10
fw10_212,FT-WEB-10
fw10_067,FT-WEB-10
fw10_033,FT-WEB-10
fw10_015,FT-WEB-10
fw10_060,FT-WEB-10
fw10_118,FT-WEB-10
fw10_054,FT-WEB-10
fw10_089,FT-WEB-10
fw10_094,FT-WEB-10
fw10_206,FT-WEB-10
fw10_071,FT-WEB-10
fw10_080,FT-WEB-10
nj2_085,FT-WEB-10
nj2_054,FT-WEB-10
nj2_007,FT-WEB-10
nj2_158,FT-WEB-10
nj2_091,FT-WEB-10
nj2_093,FT-WEB-10
nj2_162,FT-WEB-10
nj2_056,FT-WEB-10
nj2_074,FT-WEB-10
nj2_023,FT-WEB-10
nj2_133,FT-WEB-10
nj2_147,FT-WEB-10
fw10_121,FT-WEB-10
fw10_088,FT-WEB-10
fw10_051,FT-WEB-10
fw10_059,FT-WEB-10
fw10_166,FT-WEB-10
fw10_058,FT-WEB-10
fw10_084,FT-WEB-10
fw10_193,FT-WEB-10
fw10_063,FT-WEB-10
fw10_113,FT-WEB-10
fw10_152,FT-WEB-10
fw10_189,FT-WEB-10
fw10_217,FT-WEB-10
fw10_069,FT-WEB-10
fw10_083,FT-WEB-10
fw10_177,FT-WEB-10
fw10_215,FT-WEB-10
fw10_128,FT-WEB-10
fw10_151,FT-WEB-10
fw10_133,FT-WEB-10
fw10_106,FT-WEB-10
fw10_068,FT-WEB-10
fw10_208,FT-WEB-10
fw10_136,FT-WEB-10
fw10_022,FT-WEB-10
fw10_190,FT-WEB-10
fw10_036,FT-WEB-10
fw10_025,FT-WEB-10
fw10_130,FT-WEB-10
fw10_101,FT-WEB-10
fw10_122,FT-WEB-10
fw10_099,FT-WEB-10
fw10_055,FT-WEB-10
fw10_169,FT-WEB-10
fw10_202,FT-WEB-10
fw10_214,FT-WEB-10
fw10_181,FT-WEB-10
fw10_098,FT-WEB-10
fw10_046,FT-WEB-10
fw10_090,FT-WEB-10
fw10_056,FT-WEB-10
fw10_132,FT-WEB-10
fw10_039,FT-WEB-10
fw10_123,FT-WEB-10
fw10_117,FT-WEB-10
fw10_085,FT-WEB-10
fw10_104,FT-WEB-10
fw10_052,FT-WEB-10
fw10_066,FT-WEB-10
fw10_144,FT-WEB-10
fw10_216,FT-WEB-10
fw10_112,FT-WEB-10
fw10_012,FT-WEB-10
fw10_017,FT-WEB-10
fw10_204,FT-WEB-10
fw10_079,FT-WEB-10
fw10_179,FT-WEB-10
fw10_019,FT-WEB-10
fw10_081,FT-WEB-10
fw10_213,FT-WEB-10
fw10_154,FT-WEB-10
fw10_103,FT-WEB-10
fw10_135,FT-WEB-10
fw10_171,FT-WEB-10
fw10_221,FT-WEB-10
nj2_161,FT-WEB-10
nj2_072,FT-WEB-10
nj2_097,FT-WEB-10
nj2_117,FT-WEB-10
nj2_100,FT-WEB-10
nj2_148,FT-WEB-10
nj2_026,FT-WEB-10
nj2_150,FT-WEB-10
nj2_110,FT-WEB-10
nj2_096,FT-WEB-10
nj2_083,FT-WEB-10
nj2_049,FT-WEB-10
fa3_057,FT-AD-3
fa3_056,FT-AD-3
fa3_079,FT-AD-3
fa3_080,FT-AD-3
fa3_071,FT-AD-3
fa3_086,FT-AD-3
fa3_058,FT-AD-3
fa3_078,FT-AD-3
fa3_044,FT-AD-3
fa3_065,FT-AD-3
fa3_062,FT-AD-3
fa3_069,FT-AD-3
fa3_051,FT-AD-3
fa3_054,FT-AD-3
fa3_050,FT-AD-3
fa3_087,FT-AD-3
fa3_047,FT-AD-3
fa3_064,FT-AD-3
fa3_045,FT-AD-3
fa3_073,FT-AD-3
fa3_085,FT-AD-3
fa3_075,FT-AD-3
fa3_137,FT-AD-3
fa3_083,FT-AD-3
fa3_070,FT-AD-3
fa3_082,FT-AD-3
fa3_048,FT-AD-3
fa3_133,FT-AD-3
fa3_060,FT-AD-3
fa3_084,FT-AD-3
fa3_063,FT-AD-3
fa3_068,FT-AD-3
fa3_074,FT-AD-3
fa3_081,FT-AD-3
fa3_066,FT-AD-3
sp2_038,FT-AD-3
sp2_068,FT-AD-3
fa3_030,FT-AD-3
fa3_035,FT-AD-3
fa3_010,FT-AD-3
fa3_007,FT-AD-3
fa3_038,FT-AD-3
fa3_016,FT-AD-3
fa3_036,FT-AD-3
fa3_034,FT-AD-3
fa3_033,FT-AD-3
fa3_009,FT-AD-3
fa3_043,FT-AD-3
fa3_041,FT-AD-3
fa3_004,FT-AD-3
fa3_022,FT-AD-3
fa3_008,FT-AD-3
fa3_040,FT-AD-3
fa3_011,FT-AD-3
fa3_025,FT-AD-3
fa3_023,FT-AD-3
fa3_006,FT-AD-3
fa3_028,FT-AD-3
fa3_001,FT-AD-3
fa3_002,FT-AD-3
fa3_029,FT-AD-3
fa3_015,FT-AD-3
fa3_032,FT-AD-3
fa3_037,FT-AD-3
fa3_026,FT-AD-3
fa3_003,FT-AD-3
fa3_014,FT-AD-3
fa3_039,FT-AD-3
fa3_042,FT-AD-3
fa3_031,FT-AD-3
fa3_005,FT-AD-3
sp2_091,FT-AD-3